河北石家庄,114.48,38.03
河北唐山,118.02,39.63
河北行唐,114.54,38.42
河北灵寿,114.38,38.31
河北束鹿,115.18,37.94
河北晋县,115.03,38.03
河北藁城,114.84,38.03
河北高邑,114.58,37.62
河北赵县,114.78,37.76
河北井陉,114.13,38.03
河北获鹿,114.03,38.08
河北新乐,114.67,38.33
河北正定,114.56,38.13
河北深泽,115.2,38.2
河北无极,114.96,38.16
河北赞皇,114.35,37.65
河北元氏,114.5,37.74
河北栾城,114.64,38.87
河北平山,114.24,38.2
河北邯郸,114.47,36.6
河北永年,114.5,36.77
河北曲周,114.92,36.78
河北馆陶,115.4,36.47
河北魏县,114.94,36.37
河北成安,114.68,36.43
河北大名,115.14,36.28
河北涉县,113.67,36.57
河北鸡泽,113.85,36.95
河北丘县,115.18,36.84
河北广平,114.94,36.49
河北肥乡,114.8,36.56
河北临漳,114.62,36.35
河北磁县,114.37,36.37
河北武安,114.2,36.7
河北邢台,114.48,37.05
河北柏乡,114.68,37.49
河北宁普,114.9,37.62
河北隆尧,114.75,37.35
河北临西,115.5,36.87
河北南官,115.37,37.37
河北巨鹿,115.03,37.22
河北任县,114.68,37.11
河北沙河,114.52,36.94
河北临城,114.5,37.43
河北内丘,114.5,37.28
河北新河,115.22,37.53
河北清河,115.67,37.07
河北威县,115.08,36.97
河北广宗,115.14,37.06
河北平乡,115.02,37.06
河北南和,114.71,37
河北保定,115.48,38.85
河北涞水,115.71,39.39
河北涿县,115.98,39.48
河北定兴,115.78,39.28
河北容城,115.86,39.06
河北安新,115.92,38.92
河北蠡县,115.58,38.49
河北博野,115.46,38.46
河北定县,114.02,38.52
河北阜平,114.18,38.85
河北唐县,114.97,38.75
河北涞源,114.67,39.37
河北易县,115.49,39.35
河北新城,115.84,39.34
河北雄县,116.1,38.98
河北徐水,115.65,39.02
河北高阳,115.78,38.68
河北安国,115.3,38.41
河北清苑,115.47,38.76
河北望都,115.14,38.71
河北曲阳,114.68,38.62
河北完县,115.12,38.84
河北满城,115.45,38.95
河北张家口,114.87,40.82
河北康保,114.6,41.87
河北赤城,115.82,40.92
河北怀来,115.54,40.4
河北蔚县,114.53,39.83
河北宣化,115.03,40.63
河北张北,114.7,41.15
河北沽源,115.68,41.68
河北崇礼,115.25,40.98
河北涿鹿,115.2,40.37
河北阳原,114.15,40.12
河北怀安,114.38,40.67
河北尚义,113.95,41.05
河北万全,114.73,40.84
河北承德,117.93,40.97
河北围场,117.72,41.95
河北平泉,118.68,41.02
河北宽城,118.47,40.62
河北兴隆,117.48,40.42
河北滦平,117.53,40.95
河北隆化,117.7,41.32
河北青龙,118.93,40.43
河北丰宁,116.63,41.2
河北秦皇岛,119.57,39.95
河北迁西,118.3,40.15
河北迁安,118.69,40.02
河北昌黎,119.15,39.72
河北卢龙,118.85,39.89
河北滦南,118.67,39.49
河北玉田,117.9,39.9
河北唐海,118.54,39.31
河北遵化,117.97,40.2
河北抚宁,119.22,39.88
河北乐亭,118.9,39.43
河北滦县,118.73,39.74
河北丰南,118.1,39.58
河北丰润,118.13,39.82
河北廊坊,116.7,39.53
河北安次,116.69,39.52
河北三河,117.06,39.97
河北香河,117,39.76
河北霸县,116.38,39.12
河北固安,116.29,39.44
河北大城,116.63,38.7
河北文安,116.45,38.87
河北永清,116.48,39.32
河北大厂,116.98,39.98
河北沧州,116.83,38.33
河北黄骅,117.33,38.4
河北盐山,117.22,38.07
河北吴桥,116.37,37.65
河北东光,116.52,37.89
河北肃宁,115.82,38.43
河北河间,116.07,38.45
河北泊头,116.56,38.08
河北交河,116.27,38.02
河北青县,116.8,38.58
河北海兴,117.85,38.17
河北南皮,116.7,38.05
河北任丘,116.08,38.72
河北献县,116.12,38.2
河北孟村,117.1,38.06
河北衡水,115.72,37.72
河北饶阳,115.74,38.24
河北阜城,116.14,37.87
河北景县,116.26,37.69
河北枣强,115.72,37.52
河北深县,115.56,38.02
河北安平,115.5,38.22
河北武强,115.96,38.03
河北武邑,115.9,37.81
河北故城,115.96,37.36
河北冀县,115.56,37.59
山西太原,112.53,37.87
山西阳曲,112.65,38.05
山西娄烦,111.78,38.05
山西清徐,112.33,37.62
山西大同,113.3,40.12
山西阳泉,113.57,37.85
山西长治,113.08,36.18
山西天镇,114.08,40.42
山西灵丘,114.2,39.47
山西怀仁,113.1,39.82
山西山阴,112.82,39.52
山西平鲁,112.12,39.53
山西右玉,112.33,40.18
山西阳高,113.72,40.38
山西广灵,113.27,39.75
山西浑源,113.68,39.7
山西应县,113.18,39.58
山西朔县,112.42,39.32
山西左云,112.67,40.02
山西忻县,112.7,38.38
山西代县,112.97,39.07
山西五台,113.32,38.72
山西静乐,111.9,38.37
山西保德,111.09,38.01
山西河曲,111.17,39.38
山西神池,112.17,39.1
山西原平,112.7,38.73
山西繁峙,113.28,39.2
山西定襄,112.95,38.5
山西岢岚,111.58,38.7
山西五寨,111.82,38.93
山西偏关,111.47,39.45
山西宁武,112.28,39
山西榆次,112.72,37.68
山西孟县,113.37,38.01
山西昔阳,113.68,37.62
山西左权,113.35,37.07
山西太谷,112.53,37.42
山西平遥,112.18,37.2
山西灵石,111.77,36.83
山西寿阳,113.17,37.88
山西平定,113.62,37.79
山西和顺,113.55,37.33
山西榆社,112.97,37.08
山西祁县,112.33,37.36
山西介休,111.88,37.03
山西离石,111.13,37.53
山西兴县,111.22,38.47
山西方由,111.24,37.86
山西岚县,111.62,38.28
山西交城,112.14,37.55
山西文水,112.02,37.42
山西汾阳,111.75,37.27
山西孝义,111.8,37.12
山西交口,111.2,36.97
山西石楼,110.83,37
山西中阳,111.17,37.37
山西临县,110.95,37.95
山西柳林,110.85,37.45
山西襄垣,113.02,36.55
山西黎城,113.4,36.56
山西壶关,113.23,35.11
山西高平,112.88,35.48
山西阳城,112.38,35.84
山西长子,112.87,36.13
山西沁源,112.32,36.5
山西潞城,113.22,36.33
山西武乡,112.83,36.83
山西平顺,113.43,36.19
山西陵川,113.27,35.78
山西晋城,112.83,35.52
山西沁水,112.15,35.67
山西屯留,112.87,36.32
山西沁县,112.68,36.75
山西临汾,111.5,36.08
山西汾西,111.53,36.63
山西安泽,112.2,36.15
山西古县,111.9,36.29
山西翼城,111.68,35.73
山西曲沃,111.33,35.63
山西吉县,110.65,36.12
山西大宁,110.72,36.47
山西侯马,111.45,35.03
山西永和,110.64,36.62
山西洪洞,111.68,36.25
山西霍县,111.72,36.57
山西浮山,111.83,35.97
山西襄汾,111.43,35.86
山西乡宁,110.8,35.97
山西蒲县,111.07,36.42
山西运城,110.97,35.03
山西闻喜,111.2,35.37
山西垣曲,111.63,35.3
山西芮城,110.68,34.71
山西临猗,110.78,35.15
山西新绛,111.22,35.62
山西河津,110.7,35.58
山西夏县,111.22,35.12
山西绛县,111.58,35.48
山西平陆,111.2,34.12
山西永济,110.42,34.88
山西万荣,110.83,35.42
山西稷山,110.97,35.6
广东广州,113.23,23.16
广东花县,113.19,23.4
广东新十,114.2,24.09
广东增城,113.81,23.13
广东从化,113.55,23.57
广东龙门,114.25,23.75
广东番禺,113.36,22.95
广东海口,110.35,20.02
广东汕头,116.69,23.39
广东洪江,110.38,21.2
广东茂名,110.88,21.68
广东佛山,113.11,23.05
广东江门,113.06,22.61
广东深圳,114.07,22.62
广东宝安,113.85,22.58
广东珠海,113.52,22.3
广东韶关,113.62,24.84
广东曲江,113.58,24.68
广东乐昌,113.35,25.14
广东仁化,113.73,25.11
广东南雄,114.33,25.14
广东始兴,114.08,24.78
广东翁源,114.13,24.36
广东佛岗,113.52,23.86
广东英德,113.38,24.17
广东清远,113.01,23.7
广东阳山,112.65,24.48
广东连县,112.4,24.77
广东连山,112.07,24.59
广东连南,112.28,24.77
广东惠州,114.4,23.09
广东惠阳,114.4,23.09
广东博罗,114.28,23.18
广东河源,114.68,23.73
广东连平,114.48,24.39
广东和平,114.89,24.45
广东龙川,115.25,24.09
广东紫金,115.18,23.64
广东惠东,114.7,22.97
广东东莞,113.75,23.04
广东梅州,116.1,24.55
广东梅县,116.1,24.55
广东平远,117.9,24.59
广东蕉岭,116.18,24.66
广东大埔,116.7,24.34
广东丰顺,116.18,23.78
广东五华,115.75,23.93
广东兴宁,115.75,24.15
广东潮州,116.63,23.68
广东澄海,116.8,23.48
广东潮安,116.63,23.68
广东饶平,117.01,23.7
广东南澳,117.03,23.44
广东潮阳,116.61,23.27
广东惠来,116.29,23.07
广东陆丰,117.64,22.95
广东海丰,117.33,22.98
广东普宁,116.17,23.29
广东揭西,115.82,23.45
广东揭阳,116.35,23.55
广东南海,113.11,23.05
广东三水,112.89,23.18
广东顺德,113.24,22.84
广东中山,113.38,22.52
广东斗门,113.25,22.2
广东新会,113.02,22.52
广东鹤山,112.94,22.76
广东开平,112.68,22.36
广东台山,112.78,22.27
广东恩平,112.29,22.21
广东高明,112.76,21.71
广东廉江,110.27,21.63
广东化州,110.59,21.64
广东高州,110.83,21.95
广东信宜,110.9,22.36
广东阳春,111.78,22.16
广东阳江,111.95,21.85
广东电白,110.99,21.52
广东吴川,110.78,21.43
广东徐闻,110.17,20.34
广东海康,110.07,20.91
广东遂溪,110.24,21.39
广东肇庆,112.44,23.05
广东高要,112.44,23.05
广东怀集,112.18,23.93
广东广宁,112.43,23.14
广东四会,112.68,23.36
广东新兴,112.2,22.68
广东云浮,112.02,22.93
广东罗定,111.56,22.77
广东郁南,111.51,23.23
广东德庆,111.75,23.15
广东封开,111.48,23.45
广西南宁,108.33,22.84
广西柳州,109.4,24.33
广西桂林,110.28,25.29
广西梧州,111.34,23.51
广西凭祥,106.75,22.11
广西邕宁,108.49,22.74
广西武鸣,108.27,23.17
广西马山,108.2,23.73
广西上林,108.59,23.44
广西宾阳,108.8,23.22
广西横县,109.2,22.69
广西扶绥,107.92,22.65
广西崇左,107.37,22.42
广西宁明,107.08,22.12
广西龙州,106.84,22.36
广西大新,107.21,22.85
广西天等,107.12,23.08
广西隆安,107.68,23.18
广西河池,108.06,24.7
广西环江,108.26,24.83
广西罗城,108.9,24.79
广西宜山,108.64,24.47
广西东兰,107.36,24.53
广西凤山,107.05,24.55
广西天峨,107.16,25.01
广西南丹,107.54,24.98
广西都安,108.09,23.94
广西巴马,107.25,24.15
广西合山,108.89,23.82
广西柳城,109.24,24.67
广西融安,109.37,24.24
广西鹿寨,109.74,24.49
广西象州,109.7,23.98
广西武宜,109.66,23.6
广西柳江,109.34,24.27
广西来宾,109.24,23.76
广西忻城,108.66,24.07
广西融水,109.24,25.07
广西三江,109.58,25.8
广西金秀,110.18,24.14
广西临桂,110.22,25.22
广西灵川,110.33,25.42
广西兴安,110.66,25.6
广西资源,110.66,26.03
广西全州,111.06,25.96
广西灌阳,111.14,25.49
广西恭城,110.81,24.85
广西平乐,110.66,24.64
广西荔浦,110.38,24.51
广西永福,109.98,24.99
广西龙胜,110.02,25.78
广西苍悟,111.22,23.51
广西钟山,111.3,24.53
广西富川,110.26,24.83
广西贺县,111.54,24.44
广西岑溪,111,22.95
广西藤县,110.9,23.36
广西蒙山,110.54,24.22
广西昭平,110.8,24.18
广西玉林,110.14,22.64
广西桂平,110.07,23.38
广西平南,110.4,23.55
广西容县,110.53,22.87
广西北流,110.33,22.71
广西陆川,110.25,22.33
广西博白,109.98,22.27
广西贵县,109.6,23.11
广西北海,109.12,21.49
广西钦州,108.61,21.96
广西灵山,109.29,22.44
广西浦北,109.56,22.27
广西合浦,109.2,21.33
广西上思,107.98,22.16
